Geography,Sex,Year,Age_group,Rate
British Columbia,Male,2016,10 to 14,0.1
British Columbia,Male,2017,10 to 14,0.1
British Columbia,Male,2018,10 to 14,0.1
British Columbia,Male,2019,10 to 14,0.1
British Columbia,Male,2020,10 to 14,0
British Columbia,Female,2016,10 to 14,0.1
British Columbia,Female,2017,10 to 14,0.1
British Columbia,Female,2018,10 to 14,0.1
British Columbia,Female,2019,10 to 14,0.1
British Columbia,Female,2020,10 to 14,0.1
Northwest Territories,Male,2016,10 to 14,0
Northwest Territories,Male,2017,10 to 14,0
Northwest Territories,Male,2018,10 to 14,0
Northwest Territories,Male,2019,10 to 14,0
Northwest Territories,Male,2020,10 to 14,0
Northwest Territories,Female,2016,10 to 14,0.7
Northwest Territories,Female,2017,10 to 14,0
Northwest Territories,Female,2018,10 to 14,0
Northwest Territories,Female,2019,10 to 14,0.7
Northwest Territories,Female,2020,10 to 14,0
Nunavut,Male,2016,10 to 14,0
Nunavut,Male,2017,10 to 14,0.6
Nunavut,Male,2018,10 to 14,1.6
Nunavut,Male,2019,10 to 14,1
Nunavut,Male,2020,10 to 14,0
Nunavut,Female,2016,10 to 14,0
Nunavut,Female,2017,10 to 14,0
Nunavut,Female,2018,10 to 14,0.6
Nunavut,Female,2019,10 to 14,1.6
Nunavut,Female,2020,10 to 14,0.5
Newfoundland and Labrador,Male,2016,15 to 19,0.5
Newfoundland and Labrador,Male,2017,15 to 19,0.3
Newfoundland and Labrador,Male,2018,15 to 19,0.3
Newfoundland and Labrador,Male,2019,15 to 19,0.4
Newfoundland and Labrador,Male,2020,15 to 19,0.6
Newfoundland and Labrador,Female,2016,15 to 19,0.4
Newfoundland and Labrador,Female,2017,15 to 19,0.7
Newfoundland and Labrador,Female,2018,15 to 19,0.2
Newfoundland and Labrador,Female,2019,15 to 19,0.3
Newfoundland and Labrador,Female,2020,15 to 19,0.2
Prince Edward Island,Male,2016,15 to 19,0
Prince Edward Island,Male,2017,15 to 19,0
Prince Edward Island,Male,2018,15 to 19,0.7
Prince Edward Island,Male,2019,15 to 19,0
Prince Edward Island,Male,2020,15 to 19,0.2
Prince Edward Island,Female,2016,15 to 19,0.2
Prince Edward Island,Female,2017,15 to 19,0.2
Prince Edward Island,Female,2018,15 to 19,0.5
Prince Edward Island,Female,2019,15 to 19,0.2
Prince Edward Island,Female,2020,15 to 19,0.2
Nova Scotia,Male,2016,15 to 19,0.5
Nova Scotia,Male,2017,15 to 19,0.4
Nova Scotia,Male,2018,15 to 19,0.3
Nova Scotia,Male,2019,15 to 19,0.7
Nova Scotia,Male,2020,15 to 19,0.4
Nova Scotia,Female,2016,15 to 19,0.4
Nova Scotia,Female,2017,15 to 19,0.3
Nova Scotia,Female,2018,15 to 19,0.4
Nova Scotia,Female,2019,15 to 19,0.2
Nova Scotia,Female,2020,15 to 19,0.4
New Brunswick,Male,2016,15 to 19,0.7
New Brunswick,Male,2017,15 to 19,0.3
New Brunswick,Male,2018,15 to 19,0.9
New Brunswick,Male,2019,15 to 19,0.8
New Brunswick,Male,2020,15 to 19,0.6
New Brunswick,Female,2016,15 to 19,0.3
New Brunswick,Female,2017,15 to 19,0.4
New Brunswick,Female,2018,15 to 19,0.2
