,province,age_group,sex,population,gamma_adj,rho_adj,province_cat,age_group_cat,sex_cat,logit_rho_adj,log_population,Estimated Prevalence,Lower HPDI Prevalence,Upper HPDI Prevalence,Estimated Cases,Lower HPDI Cases,Upper HPDI Cases
217,Nunavut,30-34,Male,1580.0,29.405602938146885,0.018611141100092966,7,3,1,-3.965208386063504,7.365180126021013,0.017412292577642752,0.015287378209733206,0.01953082022137969,27.5252125,16.0,37.0
218,Nunavut,35-39,Female,1315.0,6.857084568075416,0.0052145129795250315,7,4,0,-5.251081427283612,7.181591944611865,0.004824201620980691,0.0042275598183523595,0.0054184266328800796,6.3482625,2.0,11.0
219,Nunavut,35-39,Male,1355.0,24.114368240100852,0.0177965817270117,7,4,1,-4.0107920327719215,7.2115567333138015,0.017104760219506646,0.015031608454912696,0.019196777041934,23.2094625,13.0,32.0
220,Nunavut,40-44,Female,1065.0,5.47375781208438,0.005139678696792846,7,5,0,-5.265611779542889,6.970730078143525,0.0047215662993438864,0.004141133253125083,0.0053064760760694685,5.0250875,1.0,9.0
221,Nunavut,40-44,Male,1135.0,19.275757413642733,0.01698304617942091,7,5,1,-4.05841080414374,7.034387929915503,0.016745266819632003,0.014726250789272305,0.018803653393801297,19.0111125,10.0,27.0
222,Nunavut,45-49,Female,1060.0,5.306933555217712,0.00500654108982803,7,6,0,-5.291990887749196,6.966024187106113,0.0045879605259186475,0.00402632203412119,0.005160087853576584,4.8707,1.0,9.0
223,Nunavut,45-49,Male,1135.0,17.64987795976008,0.015550553268511083,7,6,1,-4.147986329619103,7.034387929915503,0.016277015216821365,0.014350506149642256,0.018323120766551078,18.4529,9.0,26.0
224,Nunavut,50-54,Female,1035.0,4.776225452622847,0.004614710582244296,7,7,0,-5.373880734169739,6.942156705699469,0.004392094171482618,0.0038495198160911847,0.004932137266690251,4.5382,0.0,8.0
225,Nunavut,50-54,Male,1190.0,16.471120123292646,0.013841277414531636,7,7,1,-4.266162073232267,7.081708586105575,0.015589971805753364,0.013713112525473484,0.017511048833932275,18.5354125,9.0,26.0
226,Nunavut,55-59,Female,845.0,3.5328042596549105,0.004180833443378593,7,8,0,-5.473055066389006,6.739336627357174,0.004098585192702189,0.003602174166266191,0.0046149042968169395,3.4744,0.0,7.0
