Geography,Sex,Age_group,Persons
Saskatchewan,Female,45 to 49,33010
Saskatchewan,Female,50 to 54,32986
Saskatchewan,Female,55 to 59,38639
Saskatchewan,Female,60 to 64,36461
Saskatchewan,Female,65 to 69,29508
Saskatchewan,Female,70 to 74,22679
Saskatchewan,Female,75 to 79,16578
Saskatchewan,Female,80 to 84,12779
Saskatchewan,Female,85 to 89,9853
Saskatchewan,Female,90 to 94,5556
Saskatchewan,Female,95 to 99,2100
Saskatchewan,Female,100 and over,421
Alberta,Male,0 to 4,138322
Alberta,Male,5 to 9,141839
Alberta,Male,10 to 14,137006
Alberta,Male,15 to 19,130320
Alberta,Male,20 to 24,143101
Alberta,Male,25 to 29,164995
Alberta,Male,30 to 34,180663
Alberta,Male,35 to 39,177086
Alberta,Male,40 to 44,156608
Alberta,Male,45 to 49,145574
Alberta,Male,50 to 54,135926
Alberta,Male,55 to 59,143388
Alberta,Male,60 to 64,129330
Alberta,Male,65 to 69,97942
Alberta,Male,70 to 74,71072
Alberta,Male,75 to 79,46017
Alberta,Male,80 to 84,29345
Alberta,Male,85 to 89,17832
Alberta,Male,90 to 94,6895
Alberta,Male,95 to 99,1487
Alberta,Male,100 and over,165
Alberta,Female,0 to 4,133141
Alberta,Female,5 to 9,135172
Alberta,Female,10 to 14,131357
Alberta,Female,15 to 19,124201
Alberta,Female,20 to 24,132465
Alberta,Female,25 to 29,155696
Alberta,Female,30 to 34,174473
Alberta,Female,35 to 39,174367
Alberta,Female,40 to 44,153885
Alberta,Female,45 to 49,139323
Alberta,Female,50 to 54,131862
Alberta,Female,55 to 59,142708
Alberta,Female,60 to 64,128684
Alberta,Female,65 to 69,100682
Alberta,Female,70 to 74,76877
Alberta,Female,75 to 79,52094
Alberta,Female,80 to 84,37039
Alberta,Female,85 to 89,25543
Alberta,Female,90 to 94,13197
Alberta,Female,95 to 99,4086
Alberta,Female,100 and over,811
British Columbia,Male,0 to 4,117829
British Columbia,Male,5 to 9,124603
British Columbia,Male,10 to 14,124757
British Columbia,Male,15 to 19,142072
British Columbia,Male,20 to 24,178719
British Columbia,Male,25 to 29,185331
British Columbia,Male,30 to 34,186678
British Columbia,Male,35 to 39,175879
British Columbia,Male,40 to 44,155111
British Columbia,Male,45 to 49,161177
British Columbia,Male,50 to 54,168776
British Columbia,Male,55 to 59,185105
British Columbia,Male,60 to 64,171832
British Columbia,Male,65 to 69,147311
British Columbia,Male,70 to 74,119328
British Columbia,Male,75 to 79,79537
British Columbia,Male,80 to 84,51118
British Columbia,Male,85 to 89,31043
British Columbia,Male,90 to 94,12211
British Columbia,Male,95 to 99,2792
British Columbia,Male,100 and over,373
British Columbia,Female,0 to 4,110257
British Columbia,Female,5 to 9,117760
British Columbia,Female,10 to 14,120514
British Columbia,Female,15 to 19,135689
British Columbia,Female,20 to 24,162683
British Columbia,Female,25 to 29,175284
British Columbia,Female,30 to 34,181949
British Columbia,Female,35 to 39,176831
British Columbia,Female,40 to 44,161128
British Columbia,Female,45 to 49,170593
British Columbia,Female,50 to 54,177994
British Columbia,Female,55 to 59,193823
British Columbia,Female,60 to 64,183083
British Columbia,Female,65 to 69,158594
British Columbia,Female,70 to 74,128173
British Columbia,Female,75 to 79,86971
British Columbia,Female,80 to 84,60029
British Columbia,Female,85 to 89,40989
British Columbia,Female,90 to 94,21864
British Columbia,Female,95 to 99,7579
British Columbia,Female,100 and over,1427
Yukon,Male,0 to 4,1208
Yukon,Male,5 to 9,1286
Yukon,Male,10 to 14,1112
Yukon,Male,15 to 19,1083
Yukon,Male,20 to 24,1254
Yukon,Male,25 to 29,1582
Yukon,Male,30 to 34,1692
Yukon,Male,35 to 39,1709
Yukon,Male,40 to 44,1396
Yukon,Male,45 to 49,1402
Yukon,Male,50 to 54,1421
Yukon,Male,55 to 59,1615
Yukon,Male,60 to 64,1562
Yukon,Male,65 to 69,1144
Yukon,Male,70 to 74,791
Yukon,Male,75 to 79,425
Yukon,Male,80 to 84,236
Yukon,Male,85 to 89,79
Yukon,Male,90 to 94,50
Yukon,Male,95 to 99,11
Yukon,Male,100 and over,0
Yukon,Female,0 to 4,1097
Yukon,Female,5 to 9,1137
Yukon,Female,10 to 14,1061
Yukon,Female,15 to 19,1001
Yukon,Female,20 to 24,1116
Yukon,Female,25 to 29,1399
Yukon,Female,30 to 34,1757
Yukon,Female,35 to 39,1723
Yukon,Female,40 to 44,1537
Yukon,Female,45 to 49,1479
Yukon,Female,50 to 54,1396
Yukon,Female,55 to 59,1660
Yukon,Female,60 to 64,1470
Yukon,Female,65 to 69,1054
Yukon,Female,70 to 74,653
Yukon,Female,75 to 79,360
Yukon,Female,80 to 84,202
Yukon,Female,85 to 89,137
Yukon,Female,90 to 94,23
Yukon,Female,95 to 99,37
Yukon,Female,100 and over,5
Northwest Territories,Male,0 to 4,1648
Northwest Territories,Male,5 to 9,1505
Northwest Territories,Male,10 to 14,1450
Northwest Territories,Male,15 to 19,1339
Northwest Territories,Male,20 to 24,1681
Northwest Territories,Male,25 to 29,2018
Northwest Territories,Male,30 to 34,1873
Northwest Territories,Male,35 to 39,1737
Northwest Territories,Male,40 to 44,1557
Northwest Territories,Male,45 to 49,1504
Northwest Territories,Male,50 to 54,1701
Northwest Territories,Male,55 to 59,1789
Northwest Territories,Male,60 to 64,1390
Northwest Territories,Male,65 to 69,884
Northwest Territories,Male,70 to 74,537
Northwest Territories,Male,75 to 79,285
Northwest Territories,Male,80 to 84,171
Northwest Territories,Male,85 to 89,69
Northwest Territories,Male,90 to 94,20
Northwest Territories,Male,95 to 99,8
Northwest Territories,Male,100 and over,1
Northwest Territories,Female,0 to 4,1436
Northwest Territories,Female,5 to 9,1565
Northwest Territories,Female,10 to 14,1476
Northwest Territories,Female,15 to 19,1478
Northwest Territories,Female,20 to 24,1398
Northwest Territories,Female,25 to 29,1768
Northwest Territories,Female,30 to 34,1806
Northwest Territories,Female,35 to 39,1725
Northwest Territories,Female,40 to 44,1629
Northwest Territories,Female,45 to 49,1551
Northwest Territories,Female,50 to 54,1633
Northwest Territories,Female,55 to 59,1497
Northwest Territories,Female,60 to 64,1178
Northwest Territories,Female,65 to 69,812
Northwest Territories,Female,70 to 74,434
Northwest Territories,Female,75 to 79,268
Northwest Territories,Female,80 to 84,128
Northwest Territories,Female,85 to 89,64
Northwest Territories,Female,90 to 94,45
Northwest Territories,Female,95 to 99,9
Northwest Territories,Female,100 and over,3
Nunavut,Male,0 to 4,2195
Nunavut,Male,5 to 9,2175
Nunavut,Male,10 to 14,1945
Nunavut,Male,15 to 19,1632
Nunavut,Male,20 to 24,1583
Nunavut,Male,25 to 29,1618
Nunavut,Male,30 to 34,1579
Nunavut,Male,35 to 39,1355
Nunavut,Male,40 to 44,1133
Nunavut,Male,45 to 49,1137
Nunavut,Male,50 to 54,1191
Nunavut,Male,55 to 59,850
Nunavut,Male,60 to 64,557
Nunavut,Male,65 to 69,391
Nunavut,Male,70 to 74,240
Nunavut,Male,75 to 79,114
Nunavut,Male,80 to 84,71
Nunavut,Male,85 to 89,23
Nunavut,Male,90 to 94,10
Nunavut,Male,95 to 99,2
Nunavut,Male,100 and over,1
Nunavut,Female,0 to 4,2056
Nunavut,Female,5 to 9,2108
Nunavut,Female,10 to 14,1851
Nunavut,Female,15 to 19,1633
Nunavut,Female,20 to 24,1501
Nunavut,Female,25 to 29,1614
Nunavut,Female,30 to 34,1519
Nunavut,Female,35 to 39,1317
Nunavut,Female,40 to 44,1064
Nunavut,Female,45 to 49,1062
Nunavut,Female,50 to 54,1035
Nunavut,Female,55 to 59,843
Nunavut,Female,60 to 64,491
Nunavut,Female,65 to 69,300
Nunavut,Female,70 to 74,205
Nunavut,Female,75 to 79,112
Nunavut,Female,80 to 84,48
Nunavut,Female,85 to 89,20
Nunavut,Female,90 to 94,9
Nunavut,Female,95 to 99,1
Nunavut,Female,100 and over,1
